Cluster,Size,Avg_Cost_Per_Day,Avg_Cost_Of_Living_Index,Avg_Restaurant_Price_Index,Avg_Rating,Cost_Level
0,21,127.29333333333332,30.714285714285715,22.285714285714285,4.538095238095238,Moderate
1,17,134.35764705882352,71.05882352941177,66.58823529411765,4.588235294117647,Moderate
2,33,160.03545454545454,38.0,27.333333333333332,4.6393939393939405,Expensive
3,6,131.91,59.333333333333336,52.166666666666664,4.533333333333332,Moderate
4,49,64.70081632653061,35.2,27.4,4.644897959183673,Budget
5,1,500.0,0.0,0.0,4.9,Luxury
6,6,155.395,55.0,52.0,4.683333333333333,Expensive
7,11,259.3463636363636,33.333333333333336,23.833333333333332,4.745454545454546,Luxury
8,6,144.15,38.666666666666664,30.666666666666668,4.55,Moderate
